id_pictura#	cale_poza#	denumire#	categorie#	taguri#	disponibilitate#	pret#	dimensiune#	descriere
13#	../../assets/images/pozeBD/13.jpg#	Un lup creativ#	1#	lup, rosu, abstract#	0#	1000#	40x50#	Partea dreaptă a creierului e responsabilă pentru creativitate. Pictura este un autoportret.
14#	../../assets/images/pozeBD/14.jpg#	Rennes Caffee#	1#	ren mov galben cafea padure abstract#	0#	200#	40x50#	Pictură facută pentru Rennes Caffee.
15#	../../assets/images/pozeBD/15.jpg#	Panda#	1#	panda albastru abstract#	0#	100#	15x20#	Portretul unei prietene.
16#	../../assets/images/pozeBD/16.jpg#	„Music is like a dream, one that I cannot hear”#	1#	soim negru verde muzica abstract#	0#	600#	20x30#	"Șoimul este simbolul observatorului divin (""ochi de șoim""). Notele muzicale sunt din simfonia a II-a a lui Beethoven."
17#	../../assets/images/pozeBD/17.jpg#	Nopate liniștită#	1#	natura padure lac luna stele albastru verde real#	1#	500#	30x40#	Un loc liniștit, calm, în care luna plină își așterne razele.
18#	../../assets/images/pozeBD/18.jpg#	„Spirit that cannot be broken”#	1#	cal maro vultur albastru natura abstract#	1#	600#	50x60#	"Inspirat din ""Spirit: Stallion of the Cimarron"". Un cal sălbatic care a fost îmblânzit de un indian, iar cel mai bun prieten al calului este vulturul."
19#	../../assets/images/pozeBD/19.jpg#	Cer înstelat#	1#	padure stele albatru abstract#	0#	100#	10x20#	Cer înstelat.
20#	../../assets/images/pozeBD/20.jpg#	Ochiul lui Sauron#	1#	munte nori albastru rosu galben abstract#	0#	200#	20x30#	"Inspirat din ""The Lord of the Rings"", ochiul lui Sauron."
21#	../../assets/images/pozeBD/21.jpg#	Fluture#	1#	fluture alb verde real#	0#	250#	20x30#	Fluturele este mic, gingaș, frumos.
22#	../../assets/images/pozeBD/22.jpg#	„A fool sees not the tree a wise man sees”#	1#	copac natura rosu maro negru abstract#	0#	500#	50x60#	Trebuie să ne căutăm rădăcinile atât pe pământ, cât și în cer.
23#	../../assets/images/pozeBD/23.jpg#	Apusurile sunt dovada că orice zi se poate termina frumos#	1#	munti natura lac albastru portocaliu galben real#	0#	500#	50x60#	Fiecare zi se termină cu apusul soarelui, care este un joc minunat de culori urmat de întuneric.
24#	../../assets/images/pozeBD/24.jpg#	White Beauty#	1#	cal alb maro real#	0#	500#	50x60#	Albul este culoarea purității, iar calul reprezintă puterea.
25#	../../assets/images/pozeBD/25.jpg#	Marooned#	1#	stele albastru rosu galbe abstract#	0#	200#	20x30#	"O gaura neagră care ""mănâncă"" toate planetele și stelele."
26#	../../assets/images/pozeBD/26.jpg#	Stripes of the Universe#	1#	zebra cer stele albastru negru abstract#	1#	300#	30x40#	"Zebra este simbolul sincerității, inteligenței și unicității, iar albastrul este ""cea mai apropiată culoare de adevăr""."
27#	../../assets/images/pozeBD/27.jpg#	Free your mind!#	1#	portret galben albastru stele abstract#	1#	400#	40x50#	Autoportret.
28#	../../assets/images/pozeBD/28.jpg#	Fiecare răsărit este un dar!#	1#	munte natura albastru verde galben real#	0#	800#	60x70#	Fiecare răsărit este un dar, o șansă pentru o zi minunată.
29#	../../assets/images/pozeBD/29.jpg#	Caracatița Octi#	1#	caracatita albastru portocaliui abstract#	0#	400#	30x40#	Caracatița este simbolul complexității, flexibilitații, inteligenței.
30#	../../assets/images/pozeBD/30.jpg#	Ochii sunt oglinda sufletului#	1#	bufnita albastru abstract#	1#	800#	30x40#	Bufnița este simbolul înțelepciunii, iar ochii sunt simbolul sufletului.
31#	../../assets/images/pozeBD/31.jpg#	Pădurea magică#	1#	natura padure lac albastru verde abstract#	0#	200#	15x20#	Pădure fermecată din basme.
32#	../../assets/images/pozeBD/32.jpg#	Natura statică#	1#	natura piersici portocaliu maro verde real#	0#	300#	20x30#	Natură statică.
33#	../../assets/images/pozeBD/33.jpg#	Apus cu stele#	1#	cer stele nori portocaliu albastru abstract#	0#	800#	70x80#	Un apus peste care noaptea se grăbește să-l acopere.
34#	../../assets/images/pozeBD/34.jpg#	„Once the light is seen, the rest of the sea is ignored”#	1#	far mare albastru galben abstract#	1#	700#	70x80#	Un marinar care a fost pierdut pe mare mult timp, vede în mijlocul unei furtuni acest far, care arată că un port este aproape, iar cosmarul marinarului s-a sfârșit.
35#	../../assets/images/pozeBD/35.jpg#	Mânușile câștorului#	1#	manusi box rosu maro real#	0#	250#	20x30#	Dupa un meci caștigat, mânușile sunt puse în cui și așteaptă urmatorul antrenament/meci.
36#	../../assets/images/pozeBD/36.jpg#	Cel mai bun prieten al omunui#	1#	caine maro roz real#	0#	400#	40x50#	Cel mai bun prieten al omului (dar câinele nu și-a zis părerea).
37#	../../assets/images/pozeBD/37.jpg#	Portretul unui cal#	1#	cal maro verde real#	0#	200#	20x30#	Portretul unui cal.
38#	../../assets/images/pozeBD/38.jpg#	Pacea interioară partea I#	1#	lup natura mare padure verde albastru galben abstract#	1#	500#	40x40#	Controlează-ți gândurile sau te vor controla ele pe tine!
39#	../../assets/images/pozeBD/39.jpg#	Pacea interioară partea a II-a#	1#	portret natura munte rau verde albastru abstract#	1#	500#	40x40#	Controlează-ți gândurile sau te vor controla ele pe tine!
40#	../../assets/images/pozeBD/40.jpg#	Îngerul cafelei#	1#	inger cafea galben abstract#	0#	200#	15x20#	Îngerul cafelei.
41#	../../assets/images/pozeBD/41.jpg#	„To the mind that is still, the whole universe surrenders”#	1#	spatiu stele planete albastru rosu verde galben abstract#	1#	400#	20x40#	"Planetele se vor alinia cu ajutorul unei ""plase""."
42#	../../assets/images/pozeBD/42.jpg#	„Under the sea”#	1#	testoasa mare albastru mov abstract#	0#	200#	20x30#	O țestoasa înoata linistită și se bucură de razele soarelui.
43#	../../assets/images/pozeBD/43.jpg#	„And if i hear the owl's cry, into the forest I would fly”#	1#	bufnita padure galben abstract#	1#	600#	40x50#	"Bufnița este cunoscută și ca ""medicul pădurii"". Această bufniță verifică ficare copac, fiecare vietate, pentru a se asigura că totul este bine."
44#	../../assets/images/pozeBD/44.jpg#	Ai nevoie de puțin spațiu?#	1#	spatiu stele planete albastru galben abstract#	0#	600#	60x70#	Cel mai bun loc pentru a fi singur cu gândurile tale.
45#	../../assets/images/pozeBD/45.jpg#	„Over the hills and far away”#	1#	padure stele albatru galben abstract#	1#	200#	20x30#	Lumina lunii amplifică misterul noptii.
46#	../../assets/images/pozeBD/46.jpg#	Portretul lui Sara-Z#	1#	cal negru maro real#	0#	1000#	70x80#	Portretul lui Sara-Z, o iapa cu multe concursuri câștigate.
47#	../../assets/images/pozeBD/47.jpg#	April Flowers#	2#	flori roz abstract#	0#	300#	100x100#	Logo-ul florariei April Flowers.
48#	../../assets/images/pozeBD/48.jpg#	Rennes Caffee#	2#	simboluri mov galben abstract#	0#	400#	30x100#	Yin-Yang, floarea soarelui și Hamsa-Hand pe peretele de la Rennes Caffee.
49#	../../assets/images/pozeBD/49.jpg#	Unicorn#	3#	unicorn pahar albastru roz mov abstract#	1#	20#	250ml#	O cafea poate sa vină cu un pahar vesel la Rennes Caffee.
50#	../../assets/images/pozeBD/50.jpg#	Felicitări 8 martie#	4#	flori#	0#	20#	15x18#	La mulți ani de 8 martie!
51#	../../assets/images/pozeBD/51.jpg#	Marăițoare#	5#	flori#	0#	5#	5x10#	Primăvara începe cu un marțișor.
52#	../../assets/images/pozeBD/52.jpg#	Rennes Caffee#	6#	cafea scris#	0#	500#	100x300#	Meniul de la Rennes Caffee.
53#	../../assets/images/pozeBD/53.jpg#	Rennes Caffee#	2#	cafea#	0#	200#	100x150#	Cafeaua de la Rennes Caffee.
54#	../../assets/images/pozeBD/54.jpg#	Gastro Streetfood#	6#	mancare#	0#	200#	100x200#	Meniul de piadine de la Gastro Streetfood.
55#	../../assets/images/pozeBD/55.jpg#	Gastro Streetfood#	6#	mancare#	0#	300#	100x200#	Meniul de burgeri de la Gastro Streetfood.
56#	../../assets/images/pozeBD/56.jpg#	Wishbox#	2#	flori frunze abstract#	0#	600#	80x100#	Pereții pictați de la Wishbox Outlet.
57#	../../assets/images/pozeBD/57.jpg#	Send Sound Agency#	2#	scris muzica#	0#	500#	100x100#	Perete pictat de la Send Sound Agency.
58#	../../assets/images/pozeBD/58.jpg#	Atelierul lui Mihai#	3#	scris cana mecanic verde portocaliu#	0#	20#	150ml#	Căni pictate pentru Atelierul lui Mihai.
59#	../../assets/images/pozeBD/59.jpg#	Atelierul lui Mihai#	3#	scris cana verde roz#	0#	20#	150ml#	Căni pictate pentru Atelierul lui Mihai.
60#	../../assets/images/pozeBD/60.jpg#	Felicitări#	4#	flori mov albastru#	1#	20#	15x18#	Felicitări colorate și vesele, care completează orice cadou.
61#	../../assets/images/pozeBD/61.jpg#	Felicitări#	4#	flori rosu galben verde#	1#	20#	15x18#	Felicitări colorate și vesele, care completează orice cadou.
62#	../../assets/images/pozeBD/62.jpg#	Felicitări#	4#	flori alb galben#	1#	20#	15x18#	Felicitări colorate și vesele, care completează orice cadou.
63#	../../assets/images/pozeBD/63.jpg#	Marțișoare#	5#	flori rosu galben mov#	0#	5#	5x5#	Primăvara începe cu un marțișor.
64#	../../assets/images/pozeBD/64.jpg#	„Keep your face to the sunshine and you cannot see the shadow”#	1#	flori fluture galben albastru abstract#	1#	500#	30x40#	"Floarea soarelui ""privește"" soarele, fară ""să se uite înapoi"", iar fluturele o însoțește."
65#	../../assets/images/pozeBD/65.jpg#	Motocicletă#	1#	motocicleta mecanic gri rosu maro#	1#	300#	20x30#	O motocicletă.
